,lfc,blocks,p,margin,lfc_B1,lfc_B2,lfc_B3,lfc_B4
Adcyap1,-0.30305195,4,0.17142857142857143,-0.4017172,-0.67222214,-0.1060648,-0.25781822,-0.17610264
Cartpt,0.19341898,2,0.9142857142857143,-2.634121,-0.20638084,-0.69522095,1.2831488,0.39212894
Crhr2,-0.66624045,4,0.14285714285714285,-0.6841965,-1.3796186,-0.29616165,-0.75450706,-0.23467445
Esr1,0.20091343,3,0.7142857142857143,-1.238306,0.85493755,0.08685303,-0.63385487,0.495718
Gal,1.0138359,3,0.11428571428571428,-0.6514282,-0.11434364,2.6058645,1.0350199,0.5288029
Galr1,0.54248166,4,0.02857142857142857,0.11234665,0.27315712,0.6378145,0.3612213,0.8977337
Galr3,0.6411674,3,0.05714285714285714,-0.07264233,1.2244434,0.5188141,-0.07264233,0.8940544
Gast,0.77046466,4,0.5428571428571428,-3.5275717,2.0354462,0.62094116,0.2634802,0.16199112
Gck,0.76197624,3,0.05714285714285714,-0.14264488,0.826581,1.3194809,-0.14264488,1.044488
Ghrh,0.07587743,3,0.9428571428571428,-2.8687534,-0.9312849,0.8510475,0.30572796,0.07801914
Ghsr,0.62852573,4,0.02857142857142857,0.081300735,0.48818016,0.5750141,0.6275101,0.8233986
Gpr50,0.5677887,3,0.5714285714285714,-1.8210897,0.764349,1.7653899,1.4853878,-1.7439718
Hcrt,-0.50550056,3,0.6,-2.016737,-1.2538967,-0.093120575,0.4110489,-1.0860338
Hmcn1,-0.8467933,3,0.42857142857142855,-1.2594461,-2.3893523,-0.9235964,0.0009794235,-0.075203896
Hrh3,-0.035437584,2,0.8,-0.5626011,0.4717188,-0.3028555,0.00493145,-0.31554508
Insr,0.074611664,3,0.3142857142857143,-0.11933231,0.21298885,0.02076435,0.18208218,-0.117388725
Npy4r,-0.37361383,3,0.4,-0.98354435,0.5271826,-0.23735046,-0.98354435,-0.8007431
Otp,0.35050368,4,0.02857142857142857,0.07592201,0.37459564,0.4584217,0.230093,0.33890438
Pnoc,-0.38929367,2,0.5428571428571428,-1.5573158,-0.7473755,0.036218643,0.22328854,-1.0693064
Pomc,-0.16176236,4,0.7714285714285715,-2.0895972,-0.08498812,-0.19135666,-0.072553635,-0.29815102
Ppp1r17,0.9407513,4,0.11428571428571428,-0.41034985,1.1003113,1.9260111,0.19475746,0.54192543
Slc1a2,-0.082163095,3,0.7428571428571429,-0.720973,-0.21413994,-0.35309887,-0.063323975,0.3019104
Slc32a1,0.09818077,1,0.7142857142857143,-0.789979,-0.15186787,-0.016225815,-0.3196392,0.880456
Synpr,-0.33668566,4,0.02857142857142857,0.06871319,-0.43786144,-0.49182987,-0.34833813,-0.06871319
2010300C02Rik,-0.2902832,3,0.2,-0.34204292,0.036827087,-0.48426342,-0.6806488,-0.033047676
Acsbg1,-0.038299322,2,0.9142857142857143,-0.596097,-0.28032684,-0.55535793,0.3056965,0.376791
Adamts2,0.055712223,3,0.8571428571428571,-0.57214737,0.37869167,0.34103012,-0.57214737,0.07527447
Angpt1,-0.38795447,3,0.3142857142857143,-0.19345093,-1.23983,-0.3448143,-0.093447685,0.12627411
Aqp4,0.59075975,3,0.2857142857142857,-1.1487398,0.70095444,-0.73097897,1.6610527,0.73201084
Arhgap12,0.079744816,2,0.45714285714285713,-0.33586693,0.15481949,-0.092149734,0.33698845,-0.08067894
Arhgap6,0.42925286,2,0.2857142857142857,-0.25149918,-0.10522747,1.0736122,-0.05844021,0.8070669
Arhgef28,0.7320881,4,0.02857142857142857,0.14345932,0.99606514,1.316061,0.14345932,0.47276688
Bdnf,-0.17204094,3,0.42857142857142855,-0.64785194,-0.6848612,0.64785194,-0.3245306,-0.32662392
Bhlhe40,0.006725788,2,0.9142857142857143,-0.38950062,0.071668625,-0.21780777,0.4606533,-0.287611
