cell_type,n_cells,min_cells,pct_pos,cpm,lfc,fold,blocks,p,margin,significant
Glut Prdm8/Cbln1,611,37,62.7,6083.8,0.542,1.46,4,0.0286,0.112,True
GABA Otp/Wfs1,3458,336,11.3,430.8,0.535,1.45,4,0.0857,-0.098,False
Glut Bcl11b/Prdm12,962,36,38.7,3411.9,0.368,1.29,3,0.4571,-0.817,False
Glut Otp/Nrn1,8550,692,19.1,1714.3,0.294,1.23,3,0.5429,-0.907,False
GABA Cacna2d2,12248,886,26.4,2405.9,0.241,1.18,3,0.4571,-0.49,False
GABA Nts/Gal,1914,98,33.1,1466.5,0.18,1.13,3,0.4286,-0.205,False
VMH-like Glut Rasgrf2,9831,895,29.2,1081.6,0.112,1.08,2,0.6571,-0.688,False
GABA Nell1/Pcsk5,1396,99,62.1,5362.4,0.054,1.04,2,0.8286,-0.693,False
LHA Hcrt (orexin),1974,92,22.1,804.9,0.053,1.04,2,0.8857,-0.689,False
GABA Cartpt/Glp1r,1023,38,30.4,1804.4,-0.255,0.84,3,0.4,-0.788,False
Glut Synpr/Syt6,991,47,20.9,781.9,-0.29,0.82,4,0.3714,-0.621,False
GABA Gal/Galr1,3503,216,61.5,7564.9,-0.405,0.76,4,0.3714,-0.508,False
