,M493,M399,P953,Q378,F536,G_073,K238,F739
Glut Prdm8/Cbln1,6242.9443,4460.4004,5879.0464,3621.7139,7544.493,6940.8066,7551.9956,6748.6104
GABA Otp/Wfs1,346.96286,246.69144,389.66394,382.5374,364.02798,476.4391,562.05725,579.7264
Glut Bcl11b/Prdm12,1885.5597,1192.1318,4165.236,4021.2642,2363.2197,2574.0999,3431.6833,5002.247
Glut Otp/Nrn1,1086.0063,776.9949,2459.5579,2089.856,1311.1821,1722.5839,1948.7672,2229.34
GABA Cacna2d2,2294.4556,1373.3007,2956.3013,2399.03,2819.0913,2686.8115,2104.151,2735.9014
GABA Nts/Gal,1279.2917,938.61926,1535.8196,1604.289,1391.4657,1395.7279,1701.896,1476.1887
VMH-like Glut Rasgrf2,997.268,1031.3838,1157.0509,953.1133,1613.3817,717.58075,1063.155,1256.7245
GABA Nell1/Pcsk5,4581.1143,3453.2153,6010.026,5932.98,6186.277,5320.0317,3716.4458,5362.9146
LHA Hcrt (orexin),820.3392,505.03918,1093.6477,674.5824,678.19604,771.48444,694.10754,975.0305
GABA Cartpt/Glp1r,1711.905,2287.2827,2444.7488,1997.9521,1235.0156,1397.5352,2956.4202,1849.7074
Glut Synpr/Syt6,572.5129,802.2003,1222.6707,930.04034,459.63364,801.445,718.35394,881.2015
GABA Gal/Galr1,6915.973,6221.751,8649.867,9279.739,2950.1707,4978.172,8640.2,8846.379
