,lfc,blocks,p,margin,fold,changes
Lamp5,1.0576804,3,0.2,-1.20016,2.081582,False
Gal,1.0138359,3,0.11428571428571428,-0.6514282,2.0192728,False
Rorb,0.9425814,4,0.08571428571428572,-0.20675468,1.9219642,False
Ppp1r17,0.9407513,4,0.11428571428571428,-0.41034985,1.9195276,False
Pdgfra,0.9027128,4,0.05714285714285714,-0.16583538,1.8695782,False
Fgd5,0.79128695,4,0.08571428571428572,-0.022089958,1.7306176,False
Slc44a5,0.7911277,4,0.08571428571428572,-0.07346821,1.7304265,False
Gast,0.77046466,4,0.5428571428571428,-3.5275717,1.7058191,False
Tox,0.76505685,4,0.02857142857142857,0.19064426,1.699437,True
Gck,0.76197624,3,0.05714285714285714,-0.14264488,1.695812,False
Arhgef28,0.7320881,4,0.02857142857142857,0.14345932,1.6610415,True
Pkib,0.713578,4,0.08571428571428572,-0.32194805,1.639866,False
Slit2,0.6678202,4,0.02857142857142857,0.044520378,1.5886708,True
Spag16,0.6661632,4,0.2,-0.8158045,1.5868472,False
Galr3,0.6411674,3,0.05714285714285714,-0.07264233,1.5595906,False
Ghsr,0.62852573,4,0.02857142857142857,0.081300735,1.5459844,True
Aqp4,0.59075975,3,0.2857142857142857,-1.1487398,1.5060397,False
Gpr50,0.5677887,3,0.5714285714285714,-1.8210897,1.48225,False
Syt6,0.56717753,4,0.08571428571428572,-0.35267925,1.4816221,False
Galr1,0.54248166,4,0.02857142857142857,0.11234665,1.4564757,True
Pip5k1b,0.5245297,4,0.02857142857142857,0.1671133,1.4384645,True
Pde7b,0.49775147,4,0.11428571428571428,-0.34305954,1.4120111,False
Cpne8,0.48297477,3,0.14285714285714285,-0.3396883,1.3976226,False
Dpyd,0.47782063,3,0.08571428571428572,-0.14366531,1.3926383,False
Zfp536,0.4696219,3,0.08571428571428572,-0.062514305,1.3847466,False
Arhgap6,0.42925286,2,0.2857142857142857,-0.25149918,1.3465362,False
Nr2f2,0.427598,4,0.02857142857142857,0.033179283,1.3449924,True
Rfx4,0.42749643,3,0.2,-0.3211069,1.3448977,False
Pdyn,0.41067815,3,0.6857142857142857,-2.309945,1.3293105,False
Wfs1,0.36770105,4,0.05714285714285714,-0.24053574,1.290295,False
Gfap,0.36766505,2,0.3142857142857143,-0.65448284,1.2902628,False
Hat1,0.36648083,4,0.02857142857142857,0.24578953,1.2892042,True
Vwc2l,0.3571682,3,0.08571428571428572,-0.11157513,1.2809092,False
Clmn,0.35510516,3,0.34285714285714286,-0.76215076,1.2790787,False
Prox1,0.35465074,3,0.4,-0.86753273,1.2786759,False
Otp,0.35050368,4,0.02857142857142857,0.07592201,1.2750057,True
Deptor,0.33293605,3,0.2857142857142857,-0.6121712,1.259574,False
Rasgrf2,0.32255816,4,0.02857142857142857,0.059221268,1.250546,True
Rbp4,0.28717566,4,0.14285714285714285,-0.24228,1.220249,False
Parm1,0.2817378,3,0.17142857142857143,-0.20681667,1.2156583,False
Cntnap4,0.26663375,3,0.11428571428571428,-0.14688587,1.2029976,False
Kctd12,0.24935055,4,0.42857142857142855,-0.46057892,1.1886718,False
Sema3a,0.23940003,1,0.9142857142857143,-0.59586143,1.1805016,False
Calb1,0.23637986,4,0.02857142857142857,0.07883835,1.1780329,True
Tmem255a,0.23412347,4,0.02857142857142857,0.03278923,1.1761918,True
