,0
Prdm8,5.000936
Galr3,3.3395307
Adamts2,3.2875013
Ghrh,2.9798112
Mdga1,2.7812912
Nostrin,2.602377
Ghsr,2.5499399
Rab3b,2.440784
Unc13c,2.2289245
Cbln1,2.155891
Otp,2.1144722
Angpt1,2.0794442
Nwd2,2.0793712
Galr1,2.06465
Sncg,2.0434985
Tacr1,2.0289917
Bdnf,1.9542072
Ndst4,1.83846
Crhr2,1.7641892
Pip5k1b,1.7276464
Syndig1,1.6683819
Nrn1,1.6285053
Cbln4,1.5725399
Vwc2l,1.5646907
Ppp1r17,1.5422596
Fibcd1,1.5042377
Trpc4,1.3017832
Sstr5,1.2468008
Gucy1a1,1.2329967
Rprm,1.1824108
Adcyap1,1.1719546
Slc44a5,1.082931
Pkib,1.06822
Ucn3,1.0344393
Calb2,0.9346838
Fgd5,0.92617655
Necab1,0.8825007
Syt17,0.83246934
Dner,0.8277242
Gck,0.7758461
Prlh,0.75249857
Cpne6,0.7484227
Vat1l,0.7151611
Cux2,0.6881298
Th,0.65791076
Pnoc,0.64461523
Rorb,0.63101006
Tmem255a,0.5986074
Nrp2,0.5915291
Slit2,0.575854
Slc17a6,0.54505706
Rspo1,0.5441604
Arhgef28,0.52387935
Rims3,0.50833243
Cntnap5b,0.49882913
Calb1,0.4545157
Rmst,0.45103058
Pcsk5,0.44262782
Zfpm2,0.37205362
Pdzd2,0.3704687
Lamp5,0.29458427
Cd24a,0.28783324
Sdk2,0.28134978
Cort,0.2351664
Opn3,0.20970264
Gm19410,0.2085648
Inpp4b,0.20296137
Galnt14,0.1853588
Garnl3,0.17925355
Ndst3,0.1791896
Neto2,0.17796981
Rasgrf2,0.13848664
Kctd12,0.11518339
Tle4,0.081723
Nrep,0.081696674
Hmcn1,0.06683517
Plcxd3,0.023539146
Sipa1l3,-0.0033892845
Kcnh5,-0.020320473
Synpr,-0.040075164
Orai2,-0.082377434
Arhgap12,-0.09565506
Thsd7a,-0.121022135
Rbp4,-0.124876864
Hat1,-0.13960028
Cntn6,-0.14689066
Gsg1l,-0.15009186
Kctd8,-0.16524167
Rasl10a,-0.1764383
Sorcs3,-0.18198332
Fhod3,-0.19784477
Insr,-0.21539003
Fos,-0.25726643
Hpcal1,-0.26303402
Gfra2,-0.2703077
Strip2,-0.2853979
Gadd45a,-0.30779722
Gm2115,-0.32994103
Myl4,-0.34434003
Col19a1,-0.37276605
Sema6a,-0.3961928
Parm1,-0.40331033
Epha4,-0.4106579
Npy4r,-0.43136385
Btbd11,-0.43672004
Dpyd,-0.44375837
Necab2,-0.4466121
Chrm2,-0.46272957
Tmem132d,-0.46745634
Hrh3,-0.47790554
Eya4,-0.4988063
Bhlhe40,-0.510175
Rnf152,-0.52154857
Cdh9,-0.56053126
Mapk4,-0.580115
Plcxd2,-0.5811481
Chodl,-0.5908411
Cacna2d2,-0.5954397
