,Oligodendrocyte,Glut Otp/Nrn1,Astrocyte,VLMC / fibroblast,Endothelial,Mural (pericyte/SMC),GABA Cacna2d2,ME / meningeal fibroblast,OPC,Microglia,GABA Igf1/Chodl,GABA Gal/Galr1,GABA Cartpt/Glp1r,GABA Nts/Gal,LHA Hcrt (orexin),GABA Nell1/Pcsk5,VMH-like Glut Calb1,GABA Otp/Wfs1,Glut Bcl11b/Prdm12,DMH Grp/Ppp1r17,Glut Prdm8/Cbln1,Glut Synpr/Syt6,VMH-like Glut Tac1,VMH-like Glut Rasgrf2,ARC Pomc,ARC Tac2/Esr1 (KNDy-like),ARC Th/Slc6a3 (TIDA),ARC Agrp/Npy,Oxt/Avp magnocellular,Ependymal,Tanycyte
C185-100: Dlx1.Lhx6.GABA-1,0.5970472746328234,0.7055829756344336,0.5965774674394434,0.03485301641219888,0.34846358309758146,0.28991899873631816,0.7739567588800571,0.07204861695487287,0.6418422075808574,0.5172539306476591,0.6982549899690947,0.7763520407731508,0.7441671469042944,0.7855262902763369,0.6751198459417054,0.7545526883182317,0.7219618008566165,0.7827935246876147,0.6917349141941269,0.7375742935169799,0.6841473615722101,0.7594801192869707,0.7042668016141337,0.6643037443601583,0.7138890657780642,0.7056088354071295,0.7251228686513879,0.6778632598964596,0.4109999141178494,0.3499885855366269,0.41847838416946903
C185-101: Igfbp4.Lhx6.GABA-1,0.49299245534441566,0.6466853594647154,0.49186453844067524,0.028800372057642878,0.2550778042798366,0.20947988820688282,0.7199755344366857,0.10240029240788061,0.5494223485075123,0.39946945361835995,0.6113550809056402,0.6375901475847453,0.6041861486090554,0.6677459204582695,0.5530884768886812,0.629597767435612,0.5904221708215038,0.6795931640006722,0.5702051454403064,0.5912932912401465,0.5667989410418504,0.6303065511737813,0.5763029823767939,0.5339014689760575,0.5695045884673046,0.5525045458448465,0.6009522883925444,0.563108183205074,0.32383620046706324,0.28459303257908375,0.3584741622506782
C185-102: Hdc.GABA-1,0.5682133557341668,0.6680294745517837,0.5612676424965913,0.06627199467889207,0.36716068549989284,0.2995661354622477,0.6948622527923077,0.1627851511671957,0.6201954290450268,0.44807849981111053,0.6401861276513857,0.6849132066670593,0.6423690086161135,0.693078604729647,0.6383633808352571,0.737096179134875,0.6367525521278007,0.6637548935164779,0.6267719691299598,0.6427566670998421,0.6347937778843744,0.6930425935762136,0.6004937930460742,0.6096674325597905,0.6313884860950987,0.603027987703621,0.593662747547271,0.6291245661883564,0.43700892438964717,0.40551529213727466,0.45278482742490855
C185-103: Vgll3.Tbx3.GABA-1,0.6011816730788019,0.719163671815222,0.6159719701161874,0.06621604701635221,0.3987179226968171,0.3310183866466096,0.7435122524207886,0.13651583677426515,0.6584616698447693,0.5083197744995961,0.7275278952752813,0.7731024100899597,0.7344606736939203,0.7641357112236321,0.7264705643622785,0.7489036339994998,0.7419518637144894,0.7784783857908699,0.6955698550921497,0.7285112428013781,0.7016904852866066,0.7822823926081498,0.7071694874033558,0.707188159162837,0.7873315186055717,0.705081972572486,0.7213401346104718,0.7326202382178814,0.45952504814572487,0.4154169937729615,0.4830176115812111
C185-104: Sytl4.Tbx3.GABA-1,0.5815918383316354,0.7155016265300286,0.6183208566360795,0.02225391426075894,0.35825123535065284,0.2943662021811383,0.7534960975387471,0.084180430606068,0.656115787644673,0.5132768803703395,0.6917234305975042,0.7561021289854337,0.7550781052013954,0.788236707064552,0.6955896097193398,0.7480504230025092,0.7584537291914529,0.7806829991548397,0.6837886456742789,0.7181260346415193,0.7090573350533297,0.7716139227893415,0.7377828780862955,0.6965360961563307,0.7996060658387132,0.7185284178675266,0.7249010019980578,0.7624459712171979,0.4415807339639721,0.38738359864724525,0.48553389252152546
C185-105: Lhx6.Lhx8.GABA-1,0.6084770346535825,0.7330193120663524,0.5987112993556355,0.018729236978651056,0.3588072643482345,0.28686868261828086,0.8261942223681703,0.0997737292159124,0.6350958411916584,0.4902936902101497,0.698604074099379,0.7662294824242792,0.7186784618792865,0.782302241128596,0.6760867560491098,0.7560120062717018,0.6717094212761935,0.768436277051489,0.659587615847573,0.679075530136045,0.670874015989865,0.7450717704856612,0.6716023853679661,0.6060138795497176,0.6839114006237752,0.6637113389703458,0.6757910381232511,0.6620625209444703,0.4129354387538652,0.33703762263314363,0.44110292502424814
C185-106: Sox6.Lhx8.GABA-1,0.6050169652066179,0.7659879321633678,0.5971611192336884,0.017746732586674422,0.34288481874206156,0.2755987972911984,0.8464151011602107,0.10452783607790633,0.659849491634144,0.4963480151470152,0.6915704296085745,0.7696373210789953,0.708654811057066,0.787800761434935,0.6763823874920288,0.7631826517156305,0.6816395982155603,0.7896384308216109,0.6764166820842022,0.687142381232757,0.6840326742307252,0.7359085422951129,0.667803491237986,0.614041424842728,0.6647495239578944,0.652070602537608,0.664907030395552,0.6570278614526104,0.43228631119372907,0.34644893984076713,0.4314047679805986
C185-107: Zeb2.Lhx8.GABA-1,0.5956028415355219,0.7477880563121208,0.5991714219448033,0.0075266818832319775,0.35093025261296434,0.28059741684056555,0.8114906519528909,0.08268750128853565,0.6395460574564862,0.5103759998492127,0.7064521190650862,0.7898456852378695,0.7386531905604312,0.8001799549692566,0.6998706916975014,0.7535708639909151,0.7107046920903908,0.7850544697946237,0.672742353625522,0.7194276725833768,0.7011186512115106,0.7649968959478632,0.7012077846229998,0.6381693668464614,0.7110169599446257,0.700680634172125,0.6930927600450426,0.6834134597027398,0.41175457477317096,0.335053923481219,0.43571943387831275
C185-108: Gal.Nts.GABA-1,0.5973827988097189,0.734958094836978,0.6132516569026004,0.01634011410135354,0.3537834231208741,0.28638332803421473,0.7795793582285511,0.0677964681002234,0.6443537024385876,0.5152792313767048,0.706327351961658,0.8057592871048098,0.7828024862938873,0.8209917111622941,0.701077439826605,0.7861994583267666,0.7543830766780225,0.7880913841439158,0.685674466769118,0.7378404010778741,0.7154982279955189,0.7938425958991089,0.7479478873348399,0.6745635186801925,0.7654111419058063,0.7591538999375314,0.7245641913638009,0.7124879965704868,0.4036511076638977,0.34939374645053634,0.4433343462012599
C185-109: Ecel1.Nts.GABA-1,0.6101780549761389,0.7144367142228144,0.6328204600411064,0.05140718915564184,0.37285888603732226,0.30571712303385395,0.7778453345848189,0.11689236378380245,0.6533823516279369,0.5375049534158787,0.7077810374773627,0.7984100847270365,0.7671590279854967,0.8440155018794595,0.7015125878814901,0.7916252457004024,0.7370957692625654,0.7790401296816181,0.6725352227301404,0.7385965450374198,0.7199993040643368,0.7961871747531233,0.7203708584955284,0.6639197524073738,0.7627463284222127,0.7557473761111151,0.7134764546534511,0.730624994784395,0.42752885585681616,0.3886591663808526,0.45603961701480195
